frame,value
1,4.557991
2,4.719500
3,4.744538
4,4.744642
5,4.427189
6,4.610084
7,4.744538
8,4.747717
9,4.694855
10,4.873662
11,4.873662
12,4.822110
13,4.975196
14,4.719500
15,4.306830
16,4.847680
17,4.769978
18,4.747717
19,4.663991
20,4.848732
21,4.477215
22,4.528976
23,4.421144
24,4.822098
25,4.873662
26,4.666283
27,4.096440
28,4.583939
29,4.255249
30,4.950822
31,4.666667
32,4.006938
33,3.944254
34,3.527668
35,3.979399
36,4.500335
37,3.759302
38,4.690416
39,4.924696
40,3.824732
41,4.612453
42,4.483060
43,4.769990
44,3.759302
45,4.244191
46,4.451991
47,4.583815
48,4.171042
49,4.333333
50,4.555540
51,4.717282
52,4.719500
53,4.847680
54,4.796917
55,4.641396
56,4.847680
57,4.666283
58,4.772127
59,4.592793
60,4.747717
61,4.670592
62,4.847680
63,4.694855
64,4.694855
65,4.694855
66,4.744538
67,4.847680
68,4.769978
69,4.717282
70,4.638007
71,4.769978
72,4.796917
73,4.744538
74,4.822098
75,4.822098
76,4.924696
77,4.796917
78,4.824182
79,4.848732
80,4.796917
81,4.949747
82,4.772127
83,4.873662
84,4.796917
85,4.975196
86,5.053964
87,4.769978
88,4.717282
89,4.502873
90,4.796917
91,4.924696
92,4.822110
93,4.744538
94,4.719500
95,4.822098
96,4.949747
97,4.924685
98,4.975196
99,4.924685
100,4.924696
101,4.848732
102,4.949747
103,4.824182
104,4.848732
105,4.824182
106,4.898979
107,4.949747
108,4.949747
109,4.772127
110,4.975196
111,4.949747
112,4.719500
113,4.666283
114,4.898979
115,4.666283
116,4.691574
117,4.528976
118,4.898979
119,4.975196
120,4.532598
121,4.744538
122,4.483060
123,4.641396
124,4.924685
125,4.873662
126,4.822098
127,4.616903
128,4.873662
129,4.873662
130,4.949747
131,4.873662
132,4.719500
133,4.924685
134,4.641396
135,4.848732
136,4.924685
137,4.898979
138,4.898979
139,4.898979
140,4.898979
141,4.898979
142,4.898979
143,4.848732
144,4.848732
145,4.796917
146,4.451991
147,4.663991
148,4.719500
149,4.898979
150,4.898979
151,4.690416
152,4.451991
153,4.641396
154,4.873673
155,4.795832
156,4.847680
157,4.924685
158,4.924685
159,4.447074
160,4.587317
161,4.189425
162,4.769978
163,4.873662
164,4.847680
165,4.717282
166,4.822098
167,4.666283
168,4.924696
169,4.421144
170,4.873662
171,4.717282
172,4.000000
173,4.333333
174,4.975196
175,4.477215
176,4.796917
177,4.583815
178,4.222222
179,4.636809
180,4.417261
181,4.797016
182,4.338609
183,4.950822
184,4.797016
185,4.769978
186,4.898979
187,4.769990
188,4.873673
189,4.743416
190,4.795832
191,4.950822
192,4.900089
193,4.898979
194,4.772127
195,4.848732
196,4.824182
197,4.719500
198,4.719500
199,4.847680
200,4.717295
201,4.847680
202,4.587317
203,4.924685
204,4.949747
205,4.694855
206,4.719500
207,4.949747
208,4.796917
209,4.822098
210,4.873673
211,4.796917
212,4.641396
213,4.638007
214,5.027294
215,4.663991
216,4.502873
217,4.666283
218,4.612453
219,4.502873
220,4.427189
221,4.691574
222,4.395661
223,4.562587
224,4.744538
225,4.532598
226,4.873662
227,4.666283
228,4.975196
229,4.949747
230,4.744538
231,4.364358
232,4.364358
233,4.873673
234,4.847680
235,4.822098
236,4.694855
237,4.610084
238,4.061278
239,4.321779
240,4.924685
241,4.848732
242,4.949747
243,4.822110
244,4.949747
245,4.848732
246,4.822098
247,4.848732
248,4.769990
249,4.975196
250,4.557991
251,4.847680
252,4.670592
253,4.507625
254,4.772127
255,4.744538
256,4.898979
257,4.848732
258,4.744538
259,4.694855
260,4.847680
261,4.824182
262,4.719500
263,4.555540
264,4.847680
265,4.769978
266,4.719500
267,4.666283
268,4.975196
269,4.822098
270,4.719500
271,4.898979
272,4.555540
273,4.744538
274,4.417261
275,4.636809
276,4.641396
277,4.610099
278,4.427189
279,4.421144
280,4.744538
281,4.744538
282,4.641396
283,4.719500
284,4.772127
285,4.694855
286,4.975196
287,4.847680
288,4.824182
289,4.924685
290,4.873662
291,4.873662
292,4.796917
293,4.873673
294,4.772127
295,4.847680
296,4.719500
297,4.898979
298,4.717282
299,4.796917
300,4.772127
301,4.873662
302,4.796917
303,4.822110
304,4.769990
305,4.949747
306,4.924685
307,4.587317
308,4.822098
309,4.898979
310,4.717282
311,4.847680
312,4.532598
313,4.873662
314,4.848732
315,4.641396
316,4.666283
317,4.822098
318,4.898979
319,4.848732
320,4.924685
321,4.822098
322,4.719500
323,4.796917
324,4.772127
325,4.744538
326,4.796917
327,4.796917
328,4.587317
329,4.796917
330,4.796917
331,4.847680
332,4.772127
333,4.719500
334,4.744538
335,4.898979
336,4.796917
337,4.719500
338,4.321779
339,4.719500
340,4.313311
341,4.663991
342,4.847680
343,4.507625
344,4.796917
345,4.694855
346,4.772127
347,4.873662
348,4.822098
349,4.769978
350,4.949747
351,4.898979
352,4.848732
353,4.641396
354,4.898979
355,4.796917
356,4.900000
357,4.616903
358,4.796917
359,4.666283
360,4.638007
361,4.691574
362,4.898979
363,4.796917
364,4.796917
365,4.538253
366,4.562587
367,4.641396
368,4.458892
369,4.507625
370,4.719500
371,4.796917
372,4.873662
373,4.796917
374,4.772127
375,4.719500
376,4.924685
377,4.900000
378,4.848732
379,4.848732
380,4.822098
381,4.747717
382,4.975196
383,4.975196
384,4.873662
385,4.949747
386,4.772127
387,5.001042
388,4.873662
389,4.898979
390,4.873662
391,4.587317
392,4.562587
393,4.772127
394,4.666283
395,4.873662
396,4.532598
397,4.924685
398,4.796917
399,4.822098
400,4.924685
401,4.898979
402,4.772127
403,4.898979
404,4.796917
405,4.824182
406,4.900000
407,4.691574
408,4.719500
409,4.949747
410,4.772127
411,4.873662
412,4.824182
413,4.924685
414,4.822098
415,5.001042
416,4.822098
417,4.975196
418,4.873662
419,5.001042
420,4.822098
421,4.822098
422,4.898979
423,4.898979
424,4.824182
425,4.848732
