frame,value
1,4.587317
2,3.227486
3,3.401680
4,3.542914
5,3.836172
6,3.862358
7,4.222222
8,3.937808
9,4.796917
10,4.181239
11,3.810512
12,4.612453
13,4.797016
14,4.743416
15,4.500335
16,4.795832
17,3.695042
18,4.338609
19,4.096440
20,3.236159
21,3.979399
22,4.156922
23,3.665083
24,2.465985
25,3.428638
26,3.775478
27,2.931764
28,3.394674
29,3.311331
30,4.102581
31,3.133398
32,3.142857
33,3.721042
34,3.031089
35,3.972733
36,3.939193
37,3.000000
38,3.676955
39,3.585033
40,1.309307
41,2.501851
42,3.597007
43,4.555556
44,3.608027
45,3.360672
46,3.443784
47,4.628448
48,3.000000
49,4.008919
50,3.402069
51,4.123106
52,3.653657
53,4.093119
54,3.713070
55,4.000000
56,4.102581
57,4.306830
58,4.528976
59,4.330522
60,3.775478
61,3.653657
62,3.750000
63,4.275931
64,3.500000
65,3.472973
66,3.638034
67,3.413967
68,2.969848
69,3.413967
70,3.527668
71,4.153761
72,3.969112
73,4.213481
74,4.610084
75,4.528976
76,4.612453
77,4.691685
78,4.663991
79,4.873673
80,4.848826
81,4.743416
82,4.690416
83,4.447074
84,4.444462
85,4.417261
86,4.743416
87,4.612453
88,4.663991
89,4.557991
90,4.690416
91,4.717295
92,4.612453
93,4.822110
94,4.610084
95,4.690416
96,4.612453
97,4.717282
98,4.795832
99,4.769990
100,4.873673
101,4.924696
102,4.950822
103,4.950822
104,4.744538
105,4.950822
106,5.004346
107,4.664005
108,4.977368
109,4.949747
110,4.950822
111,4.444462
112,4.444444
113,4.638124
114,4.824506
115,4.875990
116,4.848826
117,4.748556
118,4.852475
119,4.663991
120,4.795832
121,4.691685
122,4.642336
123,4.777778
124,4.502873
125,4.313311
126,4.666283
127,4.555556
128,4.502873
129,4.777778
130,4.502873
131,4.555540
132,4.330502
133,4.527693
134,4.255249
135,4.583815
136,4.532598
137,4.717282
138,4.502873
139,4.848732
140,4.796917
141,4.796917
142,4.447074
143,4.447074
144,4.338609
145,4.717282
146,4.769990
147,4.451991
148,4.532598
149,4.050316
150,4.255249
151,4.532598
152,4.616903
153,3.913119
154,4.302653
155,4.360333
156,4.875990
157,4.898979
158,4.555540
159,4.417261
160,4.124790
161,4.500352
162,4.638007
163,4.557991
164,4.555540
165,3.721042
166,4.006938
167,4.387843
168,4.417410
169,3.178878
170,4.244191
171,3.775519
172,3.428571
173,3.659966
174,3.845077
175,3.042435
176,3.162278
177,2.757764
178,3.515101
179,3.969143
180,4.777778
181,3.676580
182,4.031621
183,3.640679
184,4.106050
185,3.636619
186,4.306830
187,4.068667
188,4.370615
189,3.979399
190,4.690416
191,2.801397
192,3.209030
193,2.088932
194,3.721042
195,4.636809
196,4.691574
197,4.583815
198,4.610084
199,3.750000
200,3.692745
201,4.360333
202,4.663991
203,4.166045
204,3.356586
205,3.845077
206,4.024922
207,4.111111
208,4.171042
209,4.364358
210,4.473467
211,4.555540
212,4.717295
213,4.333333
214,4.244373
215,4.062019
216,3.889087
217,4.473607
218,4.744642
219,4.690416
220,4.797016
221,4.848826
222,4.610099
223,4.417261
224,4.330502
225,4.205478
226,4.743416
227,4.797016
228,4.500352
229,4.528976
230,4.111111
231,3.787253
232,4.068667
233,4.213505
234,4.795832
235,4.769978
236,4.717282
237,4.610099
238,3.797701
239,4.255249
240,4.364358
241,4.395661
242,4.796917
243,4.183300
244,4.035058
245,4.975196
246,4.216541
247,4.795832
248,4.477215
249,4.691574
250,3.824732
251,4.744538
252,4.532598
253,4.507625
254,4.796917
255,4.694855
256,4.502873
257,4.528976
258,4.562587
259,4.638007
260,4.743416
261,4.949747
262,4.924685
263,4.555540
264,4.924696
265,4.162825
266,4.248529
267,4.272392
268,4.242641
269,4.275334
270,4.162825
271,4.447074
272,4.638124
273,4.272414
274,3.538152
275,4.454277
276,4.478343
277,4.564605
278,4.184915
279,4.473607
280,4.213505
281,3.743884
282,4.124790
283,4.527693
284,3.815836
285,3.889087
286,4.024922
287,4.255249
288,3.402069
289,2.832353
290,2.713602
291,3.538152
292,3.500760
293,3.015113
294,2.886751
295,3.721042
296,3.721042
297,3.852347
298,3.585033
299,4.153761
300,3.384912
301,3.597007
302,3.413967
303,4.041452
304,3.370999
305,3.625000
306,4.002083
307,3.605551
308,3.944254
309,4.472136
310,4.189425
311,4.244191
312,4.527693
313,4.691574
314,4.926939
315,4.171042
316,3.944254
317,4.797016
318,4.848826
319,4.447074
320,4.473467
321,4.582576
322,4.824506
323,4.473607
324,4.447074
325,4.898979
326,4.769978
327,4.306830
328,4.664005
329,4.691685
330,4.444462
331,4.558423
332,4.888889
333,4.272392
334,4.213481
335,4.124790
336,4.244373
337,4.272414
338,3.889087
339,4.847680
340,4.663991
341,4.744642
342,4.848826
343,4.129483
344,4.156922
345,4.248529
346,4.146140
347,4.171042
348,4.691685
349,4.333333
350,4.275334
351,4.230144
352,3.900067
353,3.771236
354,3.836172
355,4.222222
356,4.555540
357,4.444444
358,4.306830
359,4.555540
360,4.111111
361,4.555556
362,4.333333
363,4.636809
364,4.444444
365,4.102581
366,4.390570
367,4.345991
368,4.006938
369,3.889087
370,4.244191
